titulo,maisTocada,letra,tamanho,polaridade,subjetividade,sentimento,keywords
Conheço o Meu Lugar,1,O que é que pode fazer o homem comum Neste presente instante senão sangrar? Tentar inaugurar A vida comovida Inteiramente livre e triunfante?  O que é que eu posso fazer Com a minha juventude Quando a máxima saúde hoje É pretender usar a voz? O que é que eu posso fazer Um simples cantador das coisas do porão? Deus fez os cães da rua pra morder vocês Que sob a luz da lua Os tratam como gente - é claro! - aos pontapés Era uma vez um homem e o seu tempo Botas de sangue nas roupas de Lorca Olho de frente a cara do presente e sei Que vou ouvir a mesma história porca Não há motivo para festa: Ora esta! Eu não sei rir à toa! Fique você com a mente positiva Que eu quero é a voz ativa (ela é que é uma boa!) Pois sou uma pessoa Esta é minha canoa: Eu nela embarco Eu sou pessoa! A palavra pessoa hoje não soa bem Pouco me importa! Não! Você não me impediu de ser feliz! Nunca jamais bateu a porta em meu nariz! Ninguém é gente! Nordeste é uma ficção! Nordeste nunca houve! Não! Eu não sou do lugar dos esquecidos! Não sou da nação dos condenados! Não sou do sertão dos ofendidos! Você sabe bem: Conheço o meu lugar! ,1116,0.29173137626262624,0.4285064935064936,Positivo,"fazer, pessoa, homem, "
Coração Selvagem,1,"Meu bem, guarde uma frase pra mim dentro da sua canção Esconda um beijo pra mim Sob as dobras do blusão Eu quero um gole de cerveja No seu copo, no seu colo e nesse bar  Meu bem, o meu lugar é onde você quer que ele seja Não quero o que a cabeça pensa  Eu quero o que a alma deseja Arco-íris, anjo rebelde Eu quero o corpo, tenho pressa de viver Mas quando você me amar Me abrace e me beije bem devagar Que é para eu ter tempo Tempo de me apaixonar Tempo para ouvir o rádio no carro Tempo para a turma do outro bairro ver e saber que eu te amo Meu bem, o mundo inteiro está naquela estrada ali em frente Tome um refrigerante, coma um cachorro-quente Sim, já é outra viagem  E o meu coração selvagem tem essa pressa de viver Meu bem, mas quando a vida nos violentar Pediremos ao bom Deus que nos ajude Falaremos para a vida Vida, pisa devagar, meu coração, cuidado, é frágil Meu coração é como vidro, como um beijo de novela Meu bem, talvez você possa compreender a minha solidão O meu som, e a minha fúria e essa pressa de viver E esse jeito de deixar sempre de lado a certeza E arriscar tudo de novo com paixão Andar caminho errado pela simples alegria de ser Meu bem, vem viver comigo, vem correr perigo, vem morrer comigo Meu bem, meu bem, meu bem Talvez eu morra jovem, alguma curva no caminho Algum punhal de amor traído completará o meu destino Meu bem, vem viver comigo, vem correr perigo, vem morrer comigo Meu bem, meu bem, meu bem Meu bem, meu bem, meu bem Que outros cantores chamam baby Que outros cantores chamam baby Que outros cantores chamam baby ",1563,0.13247648902821316,0.4630049261083744,Neutro,"bem, vem, viver, "
Corpos Terrestres,0,"Osculetur me oscule oris suis Ideo adolescentulae dilexerunt te Nigra sum sent formosa. (but tomorrow is another day anyway) Nolite me considerare quod fusca sim, Quia decoloravit me sol - it's alright, ma! (i'm only bleeding) Here comes the sun. Indica mihi quem, dirigit anima mea, Ube pascas, ube cubes in meridie. (come with me and be my love) Ego dilecto meo, et dilectos meus mihi (i've got you under my skin... oh! really?)  Ego flos campi Et lilium convallium Veni, dilecte mi egrediamur in agrum Commoremur in villis Ibi dabo tibi ubera mea. Quam pulchra es, amica mea, quam pulchra es! Umbilicus tuus crater tornalitis, Numquam indigens poculis. Venter tuus sicut acervus tritici Vallatus liliis. Duo ubera tua sicut duo hinnuli Gemelli capreae. (absque occultis tuis!) Apori mihi, 'soror mea, amica mea, Columba mea, immaculata mea. Dilectus meus misit manum sua per foramen Et venter meus intremuit ad tactum eius Qui faciemus sorori nostrae In die quando alloquenda est? Sub arbore malo suscitavi te; Ibi corrupta est mater tua, Ibi violata est genitrix tua. Pone me ut signaculum super cor tuum, Ut signaculum super brachium tuum, Que fortis est ut mors dilectio. ",1178,0.4652777777777778,0.7398148148148147,Positivo,"mea, est, mihi, "
Cuidar do Homem,0,"Cuidar do homem. Cuidar do homem.  Solução, rima, Raimundo, é chegado o fim de tudo eo mundo pode acabar. De tanto ver, fiquei cego; surdo de tanto escutar. Ainda me sinto gente, mas não posso respirar. Tem veneno em toda terra, mil fumaças pelo ar. Não tem pássaro nem bicho, e monte líquido de lixo se tornou a água do mar. Cuidar do homem. Cuidar do homem. Pra quem pensava que Hiroshima, meu amor, tinha sido exemplo. Há Bomba N, há de Hidrogênio, há Bomba Atômica. Só quem não tem nenhuma simpatia pela raça humana pode insitir num desrespeito tão flagrante ao direito de existir. Talvez, se esses caras tivessem uma bela dama, um amor puro, fizessem fama, sobre a cama, como autores do futuro. Por isso, enquanto esses dementes tomam por amantes bombas e usinas eu canto, eu danço, eu fumo, eu bebo, eu como, eu gozo com essas meninas E se você vier com essa: que sou ingênuo, artista louco; digo: eu concordo. Eu pinto, eu bordo, eu vivo muito e ainda acho pouco. Por isso é sempre novo afirmar: Não faça a guerra. Faça o amor... E viva a vida e seus instintos no poder da flor. ",1086,0.13950534759358285,0.565603514132926,Neutro,"cuidar, homem, amor, "
Dandy,1,"Mamãe quando eu crescer Eu quero ser artista Sucesso, grana e fama são o meu tesão Entre os bárbaros da feira Ser um reles conformista Nenhum supermercado satisfaz meu coração  Mamãe quando eu crescer Eu quero ser rebelde Se conseguir licença Do meu broto e do patrão Um gandhi dandy, um grande Milionário socialista De carrão chegou mais rápido à revolução Ahh! Quanto rock dando toque, tanto blues E eu de óculos escuros vendo a vida e mundo azul Mamãe quando eu crescer Eu quero ser adolescente No planeta juventude Haverá vida inteligente? Plantar livro, escrever árvores Criar um filho feliz Um porquinho pra fazer de novo tudo o que eu já fiz Ahh! Quanto rock dando toque, tanto blues E eu de óculos escuros vendo a vida e mundo azul ",740,0.17686941964285716,0.3901785714285715,Neutro,"mamãe, crescer, quero, "
De Primeira Grandeza,0,"Quando eu estou sob as luzes Não tenho medo de nada E a face oculta da lua Que era minha aparece iluminada Sou o que escondo sendo uma mulher Igual a tua namorada Mas o que vês Quando mostro estrela de grandeza inesperada  Musa, deusa, mulher, cantora e bailarina A força masculina atrai não é só ilusão A mais que a história fez e faz o homem se destina A ser maior que Deus por ser filho de adão Anjo, herói, prometeu, poeta e dançarino A glória feminina existe e não se fez em vão E se destina à vida, ao gozo, a mais do que imagina O louco que pensou a vida sem paixão ",573,0.2533333333333333,0.5200000000000001,Positivo,"mulher, fez, destina, "
Depois Das Seis,0,"Quando a fábrica apitou e o trabalho terminou, todo mundo se mandou, sem desejos de voltar. Como o mar não tá pra peixe, ai, mulata, não negues teu cabelo. E, aproveitando esta deixa, vem viver, me comer, vem me dar, renascer, descansar.  O sol posto enxuga o suor do meu rosto, que eu não sou cativo por gosto: estou vivo e berrando da geral. E a moçada é que faz de fato a festa, em cidade como esta, onde ser gente é imoral. - Conheço a lua e não conheço o meu quintal. - A culpa é tua. Eu cantei todo esse mal. Eu... A andorinha contou que, sozinha, canta, mas não faz verão. Tem boi na linha. É o mesmo trem, a mesma estação. Resumindo: -Até logo, eu vou indo. Que é que estou fazendo aqui? Quero outro jogo, que este é fogo de engolir. ",742,-0.09136363636363637,0.3549999999999999,Neutro,"todo, vem, faz, "
Divina Comédia Humana,1,"Estava mais angustiado que um goleiro na hora do gol Quando você entrou em mim como um Sol no quintal Aí um analista, amigo meu, disse que desse jeito Não vou ser feliz direito  Porque o amor é uma coisa mais profunda que um encontro casual Aí um analista, amigo meu, disse que desse jeito Não vou ser feliz direito Porque o amor é uma coisa mais profunda que um transa sensual Deixando a profundidade de lado Eu quero é ficar colado à pele dela noite e dia Fazendo tudo de novo e dizendo sim à paixão, morando na filosofia Deixando a profundidade de lado Eu quero é ficar colado à pele dela noite e dia Fazendo tudo de novo e dizendo sim à paixão, morando na filosofia Eu quero gozar no seu céu, pode ser no seu inferno Viver a divina comédia humana onde nada é eterno Eu quero gozar no seu céu, pode ser no seu inferno Viver a divina comédia humana onde nada é eterno Ora, direis ouvir estrelas, certo perdeste o senso Eu vos direi, no entanto Enquanto houver espaço, corpo e tempo e algum modo de dizer não Eu canto Ora, direis ouvir estrelas, certo perdeste o senso Eu vos direi, no entanto Enquanto houver espaço, corpo e tempo e algum modo de dizer não Eu canto ",1168,0.2584415584415585,0.5984593837535014,Positivo,"quero, aí, analista, "
"Do Mar, do Céu, do Campo",0,"Fê-pê, Lê-pê, O-pô, Rê-pê, Aflor do mar, o céu: Rose Selavy. Lê-pê, A-pá, Ga-pá, O-pô, O-pô, Quê-pê: A Giocondadá, flor do campo.  Ay! Minha moça ready made passando de virgem à noiva. My non sense of humour, minha máquina de viver. Ay! Fonte. Um nu descendo um novo lance de escadados. Orei, a rainha, o cavalo, o peão, o grande vidro de xadrez. Cê-pê, A-pá, Nê-pê, Tê-pê, A-pá, Rê-pê, Cantar o mar no céu, la vie en rose aqui Estuve pensando en ti, xyz de mi problema: A culpa é do cinema! A-E-I-O-U, doble U, dobre o U Na cartinha da Juju, Misanu. A-E-I-O-U, dabliú, dabliú, Que a partilha é de Ubu. Noiva Maria, denudada por seus parceiros solteiros. Ay! Dama do meu fliperama, mulher-objeto trovado no chão. Oh! sonho que o dinheiro compra. Oh! pedra de toque, palavraclosada Oh! trova clusada. E Kitsh goliardo Que inventa-provença na minha canção! A/B/C/D/E/Fê/Guê/ Agá/I/K/Lê/Mê/ N/O/P/Q/Rê/ STUV pensando en ti, XYZ de mi problema: A cULpa é do cinema ",961,0.15128253799152236,0.38577200577200577,Neutro,"o-pô, a-pá, ay, "
E Que Tudo Mais Vá Para o Céu,0,"Um dia você me falou, em Andaluzia e em Valladolid Granada fica além do mar, na Espanha Molhou em meu vinho seu pão E também me falou em coisas do Brasil O FMI, Tom, poeta tombado na guerra civil  O homem da máquina então, então me falou Vá embora poeta maldito! O teu tempo maldito também já terminou E eu fui embora sorrindo, sem ligar pra nada; como vou ligar Para  essas coisas quando eu tenho a alma apaixonada? Mas teu cabelo é mais negro que o negro Da asa da graúna, de um negro mais sutil Preto como os tipos pretos que compõem a palavra anil E à noite eu entro no CinemaScope Tecnicolor, World Vision, daqueles de cowboy De que vale a minha boa vida de playboy? E eu compro este ópio barato Por duas gâmbias, pouco mais Mas como dói... Eu entro num estádio e a solidão me rói E eu quero mandar para o alto O que eles pensam em mandar para o beleléu E que tudo mais vá para o céu E eu quero mandar para o alto O que eles pensam em mandar para o beleléu E que tudo mais vá para o céu E que tudo mais vá para o céu E que tudo mais vá para o céu ",1052,0.1018939393939394,0.4575757575757576,Neutro,"vá, mandar, tudo, "
Elegia Obscena,0,"Meu bem, admire o meu carro e goze sozinha, enquanto fumo um cigarro mas cuidado!, atenção! - Oooh! oooh!... não vá quebrar mais nenhum coração. Podemos até nos deitar mas você saberá... saberá que será puro flertar, paraíso perdido, meros toque de Eros, um sarro, um tesão - Oooh! oooh! ... bad bed bed times (1) os teus peitos no jeito e eu pego e me deleito, na flor do meu umbigo. - Oooh! oooh!... E ainda ponho a camisa que avisa precisa - I can't get no satisfaction - Oooh! oooh! ... bad bed bed times! onde os puros saberes onde a fúria de seres humanos contra a ira dos deuses que cena obscena pedir, pedir Por favor nada de amor - I can't get no satisfaction  Instrumental Repete (1) em diante ",704,-0.2666542658730159,0.5277777777777778,Negativo,"oooh, bed, saberá, "
Em Resposta à Carta de Fã,0,"Baby, respondo enfim aquela carta de fã que você mandou pra mim.  Sabe, quase que eu ia fazendo a canção tropical que você me pediu. Mas quem sou eu, mentalidade mediana, para imitar Jorge Ben? Por favor não confunda as coisas! toda a canção e vulgar! Eu é que sou um cara difícil de domesticar. Gato violento e cruel? ora, ora! Você já ouviu falar em política? oh! não. Poema, o que e um poema? Isto não é do meu tempo Tempo de sex drug and rock and roll, computador! Mas não se engane! sou do poetariado, Um roqueiro fingido, estreando a vida fácil, meu amor. Obrigado pelo brando do subúrbio, pelo garoto de aluguel. Não sou nenhum Alain Delon! Pra terminar meu livro de cabeceira para ler com todo o corpo e aquele de que fala a elegia de Donne. ",750,-0.1743686868686869,0.6893939393939393,Neutro,"canção, ora, poema, "
Espacial,0,"Olha para o céu: Tira teu chapéu Pra quem fez a estrela nova - que nasceu Traz o teu sorriso novo espacial Pra quem fez a estrela artificial  Eu sei que agora a vida deixa de ser vã Pois há mais luz na avenida E mais um astro na manhã Quem volta do seu campo, ao sol poente, vem dizer Que a estrela é diferente e fez o trigo aparecer Olha para o céu: Tira o teu chapéu Pra quem fez a estrela nova - que nasceu Não é pra são jorge, nem pra são joão Pois não é outra lua e não é balão Quem mora no oriente não vai se incomodar Ao ver que no ocidente a estrela quer passar Não há mais abandono nem reino de ninguém. Se a terra já tem dono, no céu ainda não tem Por isso vem; deixa o cansaço, apressa o passo E vem correndo pro terraço e abre os braços Para o espaço que houver Quem não quiser deixar a terra em que vivemos Pelos astros onde iremos vai ouvir Ver e contar tantas estrelas Quantas forem nossas naves, noutros mares mais suaves A voar, voar, voar. ",958,0.19835858585858585,0.5021464646464646,Neutro,"estrela, fez, céu, "
Extra Cool,0,"Latino-América libre! La Mamma Africaribe!  Extra cool, a década da decadência! Onda blue, o verde não violência! Soul e sul, Latino-América libre! Que lundu, La Mamma Africaribe! Ai! Ai! Ai! Ai! Quanto sol! o mundo nu para breve! Tou em greve Cansongs em portunhol! Olha a dança vingando a nossa esperança, çá, çá, çá! Saia da roda a baixeza - crime de lesa-beleza! Armada só de luz, papoula a manhã! Desarmement! Je chant quelle etoile rouge... En passant! Allons, enfants! Alons, enfants! Tao eterno, que tudo o mais vá pro inferno! Oh! Folia! Tão moderno, Pierrot, Le Fou! Anarquia! Toque o deus Pan new bossa e Cubanacán Fortaleza! A flor do heavy, a leveza, e o beijo noir-neon de uma fã! Armada só de luz, papoula a manhã! Desarmement!  Je chant quelle etoile rouge... En passant! Allons, enfants! Alons, enfants!  Allons, enfants! Alons, enfants! Desarmement! Alons, enfants! Desarmement! Alons, enfants! Desarmement! Desarmement! Desarmement! Desarmement! ",965,0.2863636363636363,0.5336363636363636,Positivo,"desarmement, enfants, alons, "
Fotografia 3X4,1,"Eu me lembro muito bem do dia que eu cheguei Jovem que desce do Norte pra cidade grande Os pés cansados e feridos de andar légua tirana De lágrimas nos olhos de ler o Pessoa E de ver o verde da cana  Em cada esquina que eu passava um guarda me parava Pedia os meus documentos e depois sorria Examinando o 3x4 da fotografia E estranhando o nome do lugar de onde eu vinha Pois o que pesa no Norte, pela lei da gravidade Disso Newton já sabia: cai no Sul, grande cidade São Paulo violento, corre o Rio que me engana Copacabana, Zona Norte e os cabarés da Lapa onde eu morei Mesmo vivendo assim, não me esqueci de amar Que o homem é pra mulher e o coração pra gente dar Mas a mulher, a mulher que eu amei Não pôde me seguir não Esses casos de família e de dinheiro eu nunca entendi bem Veloso, o sol não é tão bonito pra quem vem do Norte e vai viver na rua A noite fria me ensinou a amar mais o meu dia E pela dor eu descobri o poder da alegria E a certeza de que tenho coisas novas Coisas novas pra dizer A minha história é talvez É talvez igual a tua, jovem que desceu do Norte Que no sul viveu na rua E ficou desnorteado, como é comum no seu tempo E que ficou desapontado, como é comum no seu tempo E que ficou apaixonado e violento como eu como você A minha história é talvez É talvez igual a tua, jovem que desceu do Norte Que no sul viveu na rua E que ficou desnorteado, como é comum no seu tempo E que ficou desapontado, como é comum no seu tempo E que ficou apaixonado e violento como eu como você Eu sou como você Eu sou como você Eu sou como você que me ouve agora Eu, eu sou como você Eu sou como você Eu sou como você Eu sou como você Eu sou como você Eu sou como você ",1678,-0.043560606060606064,0.5397253787878789,Neutro,"norte, ficou, talvez, "
"Galos, Noites e Quintais",0,"Quando eu não tinha o olhar lacrimoso Que hoje eu trago e tenho Quando adoçava meu pranto e meu sono No bagaço de cana do engenho Quando eu ganhava esse mundo de meu Deus Fazendo eu mesmo o meu caminho Por entre as fileiras do milho verde Que ondeia, com saudade do verde marinho  Eu era alegre como um rio Um bicho, um bando de pardais Como um galo, quando havia Quando havia galos, noites e quintais Mas veio o tempo negro e, à força, fez comigo O mal que a força sempre faz Não sou feliz, mas não sou mudo Hoje eu canto muito mais ",534,0.013425925925925928,0.6703703703703704,Neutro,"hoje, verde, força, "
Humano Hum,0,"Lavrar a palavra a pá, Como quem prepara um pão.  Quando o mar virar sertão, Nossa palavra será Tão humana como o pão. E o canto que soar um palavrão Se mostrará como é: Anjo de espada na mão. ",193,0.0,0.1,Neutro,"palavra, pão, lavrar, "
Jornal Blues (Canção Leve de Escárnio e Maldizer),0,"Nesta terra de doutores, magníficos reitores, leva-se a sério a comédia! A musa-pomba do Espírito Santo - e não o bem comum! - Inspira o bispo e o Governante. Velhos católicos, políticos jovens, senhoras de idade média, - sem pecado abaixo do Equador - fazem falta e inveja ao inferno de Dante. Tão comum e tirar-se daqui qualquer coisa que eu também tiraria o chapéu a vontade. Aos cidadãos respeitáveis, donos de nossas vidas, pais e patrões do país. Mas em vez tiro o lenço... Não para enxugar, portuguesmente, a saudade...  Mas pra saudar num Ciao! Quem me expulsa de casa! Dar um ""viva, excelência!"" E tapar o nariz! Não, não quero contar vantagem mas já passei fome com muita elegância. E uns caras estranhos - ordens superiores! Já invadiram minha casa... Mas com muito respeito! Diabo de profissão! Ganhar com o suor de meu gosto o bendito pão e o gim das crianças! Noblesse oblige! Eu talvez seja o cara que você ama odiar, inimigo do peito! Cá em casa quem morre se torna querido, tido e havido por justo e inocente. Mas pode ir tirando o cavalo da chuva que eu não vou nessa de morrer só para agradar vocês. Aluno mal comportado, pela regra da escola,devo ser reprovado...sumariamente Mas não faz mal. Deixo os louros ao poeta! Lauras e o que me importa! Quero o meu dinheiro no fim do mês! Mas que poeta idiota! Canções tão tocantes dão sempre uma nota raramente vulgar! Atentado à Moral e aos Bons Costumes, lapido diamantes, não falsos brilhantes. Kitsch elegante que te mente elegantemente! Oh! Abre alas que eu quero passar! There's no business like soul business! There's no Political solution, meus caros estudantes! Tá todo mundo comido, lavado, passado, bronzeado... Ora, muito obrigado! Só eu não venço na vida, não ganho dinheiro, não pego mulheres, não faço sucesso! O velho blues me diz que, ateu como eu, devo manter os modos e o estilo...Réu confesso! Eles vão para a glória sem passar pela cama... Ou jesus não me ama ou não entendo nada do riscado! Não toques esse disco! Não me beijes, por favor! Meu professor de filosofia me dizia que eu viveria sempre adolescente Hoje, qualquer mulher, assim que me abandona, já me tem por durão, mesmo sabendo que mente. Desculpem! Infelizmente não sou à prova de som nem de amor...de amor... de amor...de amor....de amor... de amor... de amor... de amor... de amor ",2333,0.1639484759477038,0.6457364341085274,Neutro,"amor, casa, quero, "
Kitsch Metropolitanus,0,"Oh, comedor de hamburguer Oh, mascador de chiclete Oh, beberrão de keep cooler Vejam só que canivete!  Onde era mesmo a escola? Meu broto passa gillette Garotos clones mutantes Mostrem de novo o topete Que tal usar brilhantina? No país da vaselina Quem tiver cara, me piche E eu chego feito um pivete À glória do sanduíche Que gente fina! gentinha... Rainha em puxar tapete Não posso entrar numa sala Que eles vêm de cassetete Kitsch metropolitanus Essa moçada promete Garotos clones mutantes Com que gastar meu confete? Que tal usar brilhantina? No país da vaselina Quem tiver cara, me piche E eu chego feito um pivete À glória do sanduíche ",642,0.03194444444444446,0.5666666666666667,Neutro,"garotos, clones, mutantes, "
La Vida Es Sueño,0,"Hermano, la vida es sueño No hay más nada que pedir Que detrás roto en el viento Todo el miedo de vivir  Hermano, la vida es sueño Me ayude usted a sentir Que mi amor por los humildes No me dejará mentir Milonga, la vida es sueño Los sordos habrán de oír Hermano, la vida es sueño Que jamás caerá inerte No duerme y no pierde tiempo Con gente de mala suerte Señor seguro en las nubes No habrá nada que lo apriete así por justa prudencia Elige amigo el más fuerte Milonga, la vida es sueño Pero no sueño de muerte En estos tiempos de furia La verdad va mal herida Los profetas predicando De la tierra prometida Cuentan que un sello de plata Recompensa la subida Hermano, la vida es sueño De libertad sin medida Se non se la sueña juntos Se desea se de salida Hermano la vida es sueño E le estoy viendo venir Por las ramblas por las plazas Por él ja no ha repetir El gran amor de los hombres La aventura y el sufrir Milonga venga y maldiga A los que en viven en subir Un río llamado pueblo Donde rige el porvenir ",1011,0.09545454545454546,0.5498015873015872,Neutro,"sueño, vida, es, "
Lamento do Marginal Bem Sucedido,0,"Baby Enquanto um velho mestre de blues radioativa nas ondas Sonoras do carro, tome um fósforo e, ao gosto dos anjos, acenda O ultimo cigarro Que aquele bêbado lhe deu E blues lamente comigo os tempos cínicos e cruéis para o caubói Delicado que você diz que sou eu Ah! Você lembra? Naquele tempo, quem não queria tomar o poder e que mãe não tomava comprimidos pra dormir? É proibido proibir! Ora, ora o poder, humilhação e violência! Vocês querem Bacalhau Ao vencedor as batatas, o troféu abacaxi E por falar em política, os meninos de rua já sentem na pele a verdade nua e crua do que nunca aconteceu Marginal bem sucedido e amante da anarquia, eu não sou Renegado sem causa, oh! Não E uma dose de amor, esse artigo sempre em falta, cairia muito Bem em mim Melhor que a droga do gim Lançado em meu cartaz de procurado de vira-lata de mercado, com a pata esmagada por um trem Ah! Fique aqui, só entre nos dois, este papo amarelo de dor Que rima com conversa mole de amor Pois, você sabe, eu prefiro a inocência do sexo e a pureza da Paixão depois do amor, o tédio e a solidão! Quem diria? Ontem a noite na cama me senti arrasado com você me chamando - idiota, bandido, um canalha, indecente, transviado, machão! Ah! Enquanto essas senhoras e esses senhores viram o jogo Contra nós e põem o mundo a seu favor - que horror! (Conversação de marginais sobre terra devastada, em meio a nossa guerra civil. Desde Cabral o Brasil é Brasil) Guardo-lhe, como um presente, o meu modo masculino, raro e Fino, de trovador eletrônico, anjo torto, ciberneticamente a mil Baby, tudo vai dar pé, você sabe e eu também sei... Qual é o problema? Mas, pelo sim pelo não me dê a sua mão igual a seu coração E, num amasso apertado um beijo molhado e escandalizado Daqueles de cinema Baby, tudo vai dar pé, você sabe e eu também sei... Qual é o problema? Mas, pelo sim, pelo não, me dê a sua mão, igual a seu coração (All we need is love!) e, num amasso apertado- da cor do Pecado, um beijo molhado, escandalizado, daqueles de cinema  ",2012,0.010647321428571421,0.5418253968253969,Neutro,"baby, amor, sabe, "
Lira dos Vinte Anos,0,"Os filhos de Bob Dylan, clientes da Coca-cola Os que fugimos da escola Voltamos todos pra casa. Um queria mandar brasa; Outro ser pedra que rola... Daí o money entra em cena e arrasa E adeus, caras bons de bola!  Mamãe! como pôde acontecer? Ah! meu coração-lobo mau não aguenta! ...e andarmos apressados Deu em chegar atrasados Ao fim dos anos cinquenta! Meu pai não aprova o que eu faço. Tampouco eu aprovo o filho que ele fez. Sem sangue nas veias, com nervos de aço, Rejeito o abraço que me dá por mês. ",506,-0.06249999999999994,0.4666666666666667,Neutro,"filhos, bob, dylan, "
Máquina II,0,ê mê e  m e  m  e  a  m  a q     u  i  q  u   i e  n  e  a  n  a  e  m  a  a  m  a q     u  i  q  u  i e  n e  a   n  a   e  m  e  a  m  a q     u  i  q  u  i e  n  e  a  n  a e  m  e  a  m  a q     u  i  q  u   i             n  a             n  a             n  a             n  a             n  a             n  a máquina  máquina   máquina  máquina máquina  máquina máquina  máquina máquina  máquina máquina  máquina máquina  máquina máquina  máquina m     a  m     a máquina  máquina máquina  máquina máquina  máquina máquina  máquina máquina  máquina na   na  na   na ,573,0.0,0.0,Neutro,"máquina, n, q, "
Medo de Avião,0,"Foi por medo de avião Que eu segurei Pela primeira vez a tua mão Um gole de conhaque Aquele toque em teu cetim Que coisa adolescente James Dean  Foi por medo de avião Que eu segurei Pela primeira vez a tua mão Não fico mais nervoso Você já não grita E a aeromoça, sexy Fica mais bonita Foi por medo de avião Que eu segurei Pela primeira vez a tua mão Agora ficou fácil Todo mundo compreende Aquele toque Beatle I wanna hold your hand Agora ficou fácil Todo mundo compreende Aquele toque Beatle I wanna hold your hand Aquele toque Beatle I wanna hold your hand Yeh, yeh, yeh! Yeh, yeh, yeh! Yeh, yeh, yeh! Yeeeh! ",612,0.38333333333333336,0.5238095238095238,Positivo,"yeh, toque, medo, "
Meu Cordial Brasileiro,0,"Meu cordial brasileiro (um sujeito) Me conta o quanto é contente e quente Sorri de dente de fora, no leito Sulamericanamente  O Senhor não me perdoa Eu não entrar numa boa e Perder sempre a esportiva Frente a esta gente indecente Que come, drome e consente Que cala, logo está viva Também estou vivo, eu sei Mas porque posso sangrar E mesmo vendo que é escuro Dizer que o Sol vai brilhar Com/contra quem me dá duro Com o dedo na cara,  Me mandando calar Menina, ainda tenho um cigarro, mas eu posso lhe dar Menina, a grama está sempre verde, mas eu quero pisar Menina, a Estrela do Norte não saiu do lugar Menina, asa branca, assum preto, sertão não virou mar Menina, o show já começou, é bom não se atrasar Menina, é proibida a entrada, mas eu quero falar Com/contra quem me dá duro Com o dedo na cara Me mandando calar Que o pecado nativo É simplesmente estar vivo É querer respirar ",885,0.11944444444444445,0.4013227513227513,Neutro,"menina, sempre, vivo, "
Meu Nome é Cem,0,"Meu nome é legião Não sou só um Sou um cidadão comum Meu nome é cem É claro, ainda é noite A força eu falo, tudo bem O pobre dorme na calçada E dizem que é madrugada e o sol já vem O amigo que saiu pra ver a lua Jaz anônimo na rua, foi fatal Na tarde que foi sempre minha amiga A lei dos homens nos obriga A ser normal E como vivo comovido Dizem que sou um bandido marginal O parque está tranquilo, mas deserto Pois, os homens estão perto Eu cantei Por mais que você diga que é sublime Falar de amor é crime Ô baby, eu sei Todo esse sangue não é nada É a cor da madrugada contra a lei  ",586,0.054545454545454536,0.4729166666666667,Neutro,"nome, dizem, madrugada, "
Monólogo das Grandezas do Brasil,0,"Todo mundo sabe/todo mundo vê Que tenho sido amigo da ralé da minha rua Que bebe pra esquecer que a gente É fraca É pobre É víl Que dorme sob as luzes da avenida É humilhada e ofendida pelas grandezas do brasil Que joga uma miséria na esportiva Só pensando em voltar viva Pro sertão de onde saiu  Todo mundo sabe (principalmente o bom deus, que tudo vê) Que os homens vão dizer que a vida é dura e incompleta Pra quem não fez a guerra e não quer vestibular Pra quem tem a carteira de terceira Pra quem não fez o serviço militar Pra quem amassa o pão da poesia Na limpeza e na alegria Contra o lixo nuclear. Como uma metrópole, O meu coração não pode parar Mas também não pode sangrar eternamente Ta faltando emprego Neste meu lugar Eu não tenho sossego Eu quero trabalhar Já pensei até em passar a fronteira. - eu vou pra São Paulo e Rio (Eldorados da além-mar) A estrada é uma estrela pra quem vai andar. Oh! Não! Oh! Não! Ai! Ai! Que bom que é A lua branca, um cristão andando a pé! Ai! ai! que bom, que bom se eu for Pés no riacho, água fresca, nosso senhor! Vou voltar pro norte/ semana que vem Deus já me deu sorte/ mas tem um porém Não me deu a grana/ pra eu pagar o trem. ",1179,0.09186283580043858,0.3587719298245614,Neutro,"bom, ai, mundo, "
Mote e Glosa,0,é o novo é o novo é o novo é o novo é o novo é o novo  é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo é o novo  passarim no ninho (tudo envelheceu) cobra no buraco (palavra morreu)  você que é muito vivo me diga qual é o novo me diga qual é o novo me diga qual é o novo novo novo novo me diga qual é o novo me diga qual é me diga qual é o novo me diga qual é  me diga qual é o novo me diga qual é ,503,0.12900826446280986,0.4548760330578513,Neutro,"novo, diga, passarim, "
